artist_0,artist_1,genre_0,genre_1,style_0,style_1,style_2,style_3,album_title,title,duration,publishing_year,publishing_country,score,audio_source
KMFH,,Electronic,,House,Techno,Ghetto House,Experimental,The Boat Party,Spoof,,16 Apr 2013,US,4.6,https://www.youtube.com/watch?v=adPzKwoU3Zw
KMFH,,Electronic,,House,Techno,Ghetto House,Experimental,The Boat Party,Flemmenup,,16 Apr 2013,US,4.6,https://www.youtube.com/watch?v=c2qOYSuW-oc
KMFH,,Electronic,,House,Techno,Ghetto House,Experimental,The Boat Party,Grungy Gloops,,16 Apr 2013,US,4.6,https://www.youtube.com/watch?v=XG-9ygxNH2Y
KMFH,,Electronic,,House,Techno,Ghetto House,Experimental,The Boat Party,Measure2Measure,,16 Apr 2013,US,4.6,https://www.youtube.com/watch?v=4KkO0vUMcX4
Dee Jay Nehpets,,Electronic,,House,Ghetto House,,,The Funk Child EP,I Came To Bring The Pain,,1997,US,4.85,https://www.youtube.com/watch?v=grMwLyYT4rU
Dee Jay Nehpets,,Electronic,,House,Ghetto House,,,The Funk Child EP,Razzberry House,,1997,US,4.85,https://www.youtube.com/watch?v=G5TdMYLr5nY
Dee Jay Nehpets,,Electronic,,House,Ghetto House,,,The Funk Child EP,Na Na Na,,1997,US,4.85,https://www.youtube.com/watch?v=r40ejNrx7dM
Dee Jay Nehpets,,Electronic,,House,Ghetto House,,,The Funk Child EP,Smoke -N- Ride,,1997,US,4.85,https://www.youtube.com/watch?v=LQZWPE_kfT8
D.J. Funk #1,,Electronic,,House,Acid,Ghetto House,,Street Traxx II,I'm So Hi,,1994,US,4.45,https://www.youtube.com/watch?v=6MMMdVu04Rc
D.J. Funk #1,,Electronic,,House,Acid,Ghetto House,,Street Traxx II,Work That Body,,1994,US,4.45,https://www.youtube.com/watch?v=leEirSsS8T8
Flamingosis,,Electronic,Hip Hop,Ambient,Instrumental,Funk,Chillwave,Pleasure Palette,Pleasure Palette,,2016,Germany,4.74,https://www.youtube.com/watch?v=KzFkN-1-gjA
Flamingosis,,Electronic,Hip Hop,Ambient,Instrumental,Funk,Chillwave,Pleasure Palette,Down For The Fifth Time,,2016,Germany,4.74,https://www.youtube.com/watch?v=zzKHTCEhsp8
