artist_0,artist_1,genre_0,genre_1,style_0,style_1,style_2,style_3,title,duration,publishing_year,publishing_country,score,audio_source
KMFH,,Electronic,,House,Techno,Ghetto House,Experimental,Spoof,,16 Apr 2013,US,4.6,https://www.youtube.com/watch?v=adPzKwoU3Zw
KMFH,,Electronic,,House,Techno,Ghetto House,Experimental,Flemmenup,,16 Apr 2013,US,4.6,https://www.youtube.com/watch?v=c2qOYSuW-oc
KMFH,,Electronic,,House,Techno,Ghetto House,Experimental,Grungy Gloops,,16 Apr 2013,US,4.6,https://www.youtube.com/watch?v=XG-9ygxNH2Y
KMFH,,Electronic,,House,Techno,Ghetto House,Experimental,Measure2Measure,,16 Apr 2013,US,4.6,https://www.youtube.com/watch?v=4KkO0vUMcX4
Dee Jay Nehpets,,Electronic,,House,Ghetto House,,,I Came To Bring The Pain,,1997,US,4.85,https://www.youtube.com/watch?v=grMwLyYT4rU
Dee Jay Nehpets,,Electronic,,House,Ghetto House,,,Razzberry House,,1997,US,4.85,https://www.youtube.com/watch?v=G5TdMYLr5nY
Dee Jay Nehpets,,Electronic,,House,Ghetto House,,,Na Na Na,,1997,US,4.85,https://www.youtube.com/watch?v=r40ejNrx7dM
Dee Jay Nehpets,,Electronic,,House,Ghetto House,,,Smoke -N- Ride,,1997,US,4.85,https://www.youtube.com/watch?v=LQZWPE_kfT8
D.J. Funk #1,,Electronic,,House,Acid,Ghetto House,,I'm So Hi,,1994,US,4.45,https://www.youtube.com/watch?v=6MMMdVu04Rc
D.J. Funk #1,,Electronic,,House,Acid,Ghetto House,,Work That Body,,1994,US,4.45,https://www.youtube.com/watch?v=leEirSsS8T8
Delroy Edwards,,Electronic,,House,Ghetto House,,,White Owl,,15 May 2013,US,4.34,https://www.youtube.com/watch?v=HLD-2PUUa5Y
Delroy Edwards,,Electronic,,House,Ghetto House,,,The Fast Lane,,15 May 2013,US,4.34,https://www.youtube.com/watch?v=S-KyigOf4Hk
Delroy Edwards,,Electronic,,House,Ghetto House,,,Drop Dead,,15 May 2013,US,4.34,https://www.youtube.com/watch?v=XKxnCjNKwtw
Flamingosis,,Electronic,Hip Hop,Ambient,Instrumental,Funk,Chillwave,Pleasure Palette,,2016,Germany,4.74,https://www.youtube.com/watch?v=KzFkN-1-gjA
Flamingosis,,Electronic,Hip Hop,Ambient,Instrumental,Funk,Chillwave,Down For The Fifth Time,,2016,Germany,4.74,https://www.youtube.com/watch?v=zzKHTCEhsp8
Flamingosis,,Electronic,Hip Hop,Ambient,Instrumental,Funk,Chillwave,Love Me In The Evening,,2016,Germany,4.74,https://www.youtube.com/watch?v=pkzgBNl1OMA
Flamingosis,,Electronic,Hip Hop,Ambient,Instrumental,Funk,Chillwave,Football Head,,2016,Germany,4.74,https://www.youtube.com/watch?v=1hJKhiew2O0
D.J. Funk,,Electronic,,Acid,Techno,Ghetto House,,Pump It,,1996,US,4.6,https://www.youtube.com/watch?v=HMQM4Y33Qn8
D.J. Funk,,Electronic,,Acid,Techno,Ghetto House,,Work It,,1996,US,4.6,https://www.youtube.com/watch?v=nHXU-N0E9IM
D.J. Funk,,Electronic,,Acid,Techno,Ghetto House,,Work It (Instrumental),,1996,US,4.6,https://www.youtube.com/watch?v=OyLzAG_SM9E
D.J. Funk,,Electronic,,Acid,Techno,Ghetto House,,XTC,,1996,US,4.6,https://www.youtube.com/watch?v=umJrlxI4RzU
D.J. Funk,,Electronic,,Acid,Techno,Ghetto House,,Work Da Body,,1996,US,4.6,https://www.youtube.com/watch?v=umJrlxI4RzU
D.J. Funk,,Electronic,,Acid,Techno,Ghetto House,,Knock Knock,,1996,US,4.6,https://www.youtube.com/watch?v=p5_UC639Gyg
Deeon,,Electronic,,House,Ghetto House,Techno,,2 B Free,,23 Mar 2015,UK,4.72,https://www.youtube.com/watch?v=fzfYlstUGUM
Deeon,,Electronic,,House,Ghetto House,Techno,,House-O-Matic,,23 Mar 2015,UK,4.72,https://www.youtube.com/watch?v=lrTQJqdp3bI
Deeon,,Electronic,,House,Ghetto House,Techno,,Freak Like Me,,23 Mar 2015,UK,4.72,https://www.youtube.com/watch?v=eqh8lUyOOJo
Deeon,,Electronic,,House,Ghetto House,Techno,,The 604,,23 Mar 2015,UK,4.72,https://www.youtube.com/watch?v=z-vNjA7Vh10
Eric Martin,,Electronic,,House,Ghetto House,,,2nd Day,,1996,US,4.31,https://www.youtube.com/watch?v=L9T8ufCj9Ow
Eric Martin,,Electronic,,House,Ghetto House,,,2nd Day (P.J. & E.M. Mix),,1996,US,4.31,https://www.youtube.com/watch?v=L9T8ufCj9Ow
D.J. Slugo,,Electronic,,House,Techno,Ghetto House,,Wouldn't You Like To Be A Hoe,,1995,US,4.52,https://www.youtube.com/watch?v=EMtbBz2YUwA
D.J. Slugo,,Electronic,,House,Techno,Ghetto House,,Telegraph It,,1995,US,4.52,https://www.youtube.com/watch?v=60uNtyIJ-aI
D.J. Slugo,,Electronic,,House,Techno,Ghetto House,,Drum To Drum,,1995,US,4.52,https://www.youtube.com/watch?v=VKdphIkPJm0
D.J. Slugo,,Electronic,,House,Techno,Ghetto House,,Taris Sleeps Wild,,1995,US,4.52,https://www.youtube.com/watch?v=1Q7dqZ21gls
D.J. Slugo,,Electronic,,House,Techno,Ghetto House,,Track Is For The Men,,1995,US,4.52,https://www.youtube.com/watch?v=ruE9sI4Q4to
Lazare Hoche,Malin Genie,Electronic,,Techno,Ghetto House,Deep House,,Formes,,2014,France,4.58,https://www.youtube.com/watch?v=LZ1iDs1on9Q
Lazare Hoche,Malin Genie,Electronic,,Techno,Ghetto House,Deep House,,Work That Booty,,2014,France,4.58,https://www.youtube.com/watch?v=YOFJRanQFqs
D.J. Deeon,,Electronic,,Ghetto House,House,Techno,,Akcerate 98,,1998,US,4.56,https://www.youtube.com/watch?v=N_kevoqIn8o
D.J. Deeon,,Electronic,,Ghetto House,House,Techno,,Shake Dat Ass,,1998,US,4.56,https://www.youtube.com/watch?v=IxWX2S-i2a0
D.J. Deeon,,Electronic,,Ghetto House,House,Techno,,Shake Dat Butt,,1998,US,4.56,https://www.youtube.com/watch?v=IxWX2S-i2a0
Green Velvet,,Electronic,,Techno,Ghetto House,,,Technology's Out Of Control,,1999,Belgium,4.39,https://www.youtube.com/watch?v=L-n375nloL8
Green Velvet,,Electronic,,Techno,Ghetto House,,,Save The World,,1999,Belgium,4.39,https://www.youtube.com/watch?v=qvARw8iGG5w
Green Velvet,,Electronic,,Techno,Ghetto House,,,Water Molecule,,1999,Belgium,4.39,https://www.youtube.com/watch?v=KcgZ4DwbTo4
Green Velvet,,Electronic,,Techno,Ghetto House,,,Thoughts,,1999,Belgium,4.39,https://www.youtube.com/watch?v=xgXBbs8PKks
Green Velvet,,Electronic,,Techno,Ghetto House,,,Abduction,,1999,Belgium,4.39,https://www.youtube.com/watch?v=uhOc8LuAuy0
Green Velvet,,Electronic,,Techno,Ghetto House,,,Strange,,1999,Belgium,4.39,https://www.youtube.com/watch?v=7mRJRs5FGMU
L-Vis 1990,Dance System,Electronic,,House,Ghetto House,,,No More,,Jan 2014,Netherlands,4.48,https://www.youtube.com/watch?v=h1Ad6AfIhxM
L-Vis 1990,Dance System,Electronic,,House,Ghetto House,,,DS Theme,,Jan 2014,Netherlands,4.48,https://www.youtube.com/watch?v=D0PDva3MYRE
L-Vis 1990,Dance System,Electronic,,House,Ghetto House,,,Move It,,Jan 2014,Netherlands,4.48,https://www.youtube.com/watch?v=UJ3dZhc4lNk
L-Vis 1990,Dance System,Electronic,,House,Ghetto House,,,Flash Drive,,Jan 2014,Netherlands,4.48,https://www.youtube.com/watch?v=NIYyyqMd0dE
Various,,Electronic,,Ghetto House,Juke,House,,Love Will Find A Way (Club),,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=RfT1663vkCc
Various,,Electronic,,Ghetto House,Juke,House,,Crazy Wild,,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=bD_Y7tYoM38
Various,,Electronic,,Ghetto House,Juke,House,,Toxic Waste (Club Mix),,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=kUaFxN78B74
Various,,Electronic,,Ghetto House,Juke,House,,Da Bomb,,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=sgWpMF7goPI
Various,,Electronic,,Ghetto House,Juke,House,,Ghetto Shout Out!!,,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=0P8nCeweu9w
Various,,Electronic,,Ghetto House,Juke,House,,The Original Video Clash: Video Clash II (Street Mix),,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=Idg4Bj1NyAo
Various,,Electronic,,Ghetto House,Juke,House,,Work Out,,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=vQju_67wN0U
Various,,Electronic,,Ghetto House,Juke,House,,Love Will Find A Way (Club),,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=RfT1663vkCc
Various,,Electronic,,Ghetto House,Juke,House,,I Dream You,,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=QdelrdBvLRY
Various,,Electronic,,Ghetto House,Juke,House,,Crazy Wild,,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=bD_Y7tYoM38
Various,,Electronic,,Ghetto House,Juke,House,,The Original Video Clash: Video Clash II (Street Mix),,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=Idg4Bj1NyAo
Various,,Electronic,,Ghetto House,Juke,House,,Ghetto Shout Out!!,,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=0P8nCeweu9w
Various,,Electronic,,Ghetto House,Juke,House,,Da Bomb,,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=sgWpMF7goPI
Various,,Electronic,,Ghetto House,Juke,House,,Toxic Waste (Club Mix),,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=kUaFxN78B74
Various,,Electronic,,Ghetto House,Juke,House,,Work Out,,10 Feb 2014,UK,4.61,https://www.youtube.com/watch?v=vQju_67wN0U
D.J. Funk,,Electronic,,Ghetto House,,,,Big Ole Booty,,1996,US,4.41,https://www.youtube.com/watch?v=ZxJUcvl-ZM0
Jammin Gerald,,Electronic,,House,Ghetto House,,,Pump On The Floor (RX),,1998,US,4.58,https://www.youtube.com/watch?v=nxSiyZs2PGg
Jammin Gerald,,Electronic,,House,Ghetto House,,,Pump On The Floor (Org.),,1998,US,4.58,https://www.youtube.com/watch?v=nxSiyZs2PGg
Jammin Gerald,,Electronic,,House,Ghetto House,,,Holy Ghost,,1998,US,4.58,https://www.youtube.com/watch?v=aiZnNzNFAwg
Jammin Gerald,,Electronic,,House,Ghetto House,,,Biggie Trax,,1998,US,4.58,https://www.youtube.com/watch?v=XpPOHlBYQGo
Jammin Gerald,,Electronic,,House,Ghetto House,,,Da Love (No Kick Mix),,1998,US,4.58,https://www.youtube.com/watch?v=x520Rp3lVJ4
Parris Mitchell,,Electronic,,House,Ghetto House,,,We Don't Love Them Hoes,,1994,US,4.24,https://www.youtube.com/watch?v=YUs6mX0nqhQ
Parris Mitchell,,Electronic,,House,Ghetto House,,,Masturbation,,1994,US,4.24,https://www.youtube.com/watch?v=EvkhfAQqBoE
Parris Mitchell,,Electronic,,House,Ghetto House,,,The Claps,,1994,US,4.24,https://www.youtube.com/watch?v=E6_hDnhQG4I
Paul Johnson,,Sep 2014,,Electronic,,,,Speech Impediment,,Germany,Vinyl,4.63,https://www.youtube.com/watch?v=mYZgCik2CEU
Paul Johnson,,Sep 2014,,Electronic,,,,Relieve Me,,Germany,Vinyl,4.63,https://www.youtube.com/watch?v=jxeukl1Wz10
Paul Johnson,,Sep 2014,,Electronic,,,,Aww Shit,,Germany,Vinyl,4.63,https://www.youtube.com/watch?v=DQ7Y1ZZTn_Q
Paul Johnson,,Sep 2014,,Electronic,,,,Who's Psy Is This,,Germany,Vinyl,4.63,https://www.youtube.com/watch?v=jEjkBj1h5Z8
Paul Johnson,,Sep 2014,,Electronic,,,,Computers Talk,,Germany,Vinyl,4.63,https://www.youtube.com/watch?v=K2lSE6Zhvag
Jammin The House Gerald,,Electronic,,Techno,Ghetto House,,,Hold Up,,1997,US,4.49,https://www.youtube.com/watch?v=M8HHTL3HXNk
Jammin The House Gerald,,Electronic,,Techno,Ghetto House,,,Space Chair,,1997,US,4.49,https://www.youtube.com/watch?v=wfyXXsAUAWM
Jammin The House Gerald,,Electronic,,Techno,Ghetto House,,,U Feel,,1997,US,4.49,https://www.youtube.com/watch?v=Pm0SK2JbRV4
Jammin The House Gerald,,Electronic,,Techno,Ghetto House,,,Purk U Late It,,1997,US,4.49,https://www.youtube.com/watch?v=aaS1CBqu01g
